order_id,product_id,product_name,quantity,unit_price,warehouse_id,order_status,order_timestamp
c2512d21-81b4-4dc1-bbaf-5cace45441e7,P104,Monitor,3,15000,WH_MUM,PACKED,2026-01-14T18:42:33.056230
42bc4fd9-bcf0-4d85-9ec9-3748a086097e,P104,Monitor,3,15000,WH_CHE,SHIPPED,2026-01-15T05:38:15.056230
7e8d7f67-6a40-4125-ad86-301fb2aecd27,P101,Laptop,3,75000,WH_CHE,PACKED,2026-01-15T09:22:48.056230
5e3685db-52b9-4865-b9de-70300ce78c26,P103,Tablet,3,30000,WH_BLR,CREATED,2026-01-14T15:16:12.056230
cd98531e-5bef-487e-a651-e403c48733f8,P103,Tablet,1,30000,WH_BLR,SHIPPED,2026-01-15T09:52:06.056230
b976970b-985c-45e4-920d-e1b32682fcac,P103,Tablet,4,30000,WH_MUM,SHIPPED,2026-01-14T15:24:05.056230
e2bce379-8b9b-4934-828d-f9205fbec81c,P104,Monitor,4,15000,WH_DEL,PACKED,2026-01-15T08:58:02.056230
f6a5d365-3f6b-439c-9e4f-bed50cb1d0dc,P105,Keyboard,3,2000,WH_BLR,SHIPPED,2026-01-15T03:39:03.056230
2c66bebf-cf69-4299-baed-4d3576e200e8,P102,Phone,1,40000,WH_CHE,CREATED,2026-01-14T18:12:02.056230
a4b5f657-724e-42d4-b591-5aa9d85ef8d2,P104,Monitor,5,15000,WH_DEL,SHIPPED,2026-01-15T08:11:51.056230
dd8afaf0-b77a-46d9-8bc2-60fab54281db,P104,Monitor,1,15000,WH_CHE,CREATED,2026-01-14T23:14:58.056230
5525aeae-44a7-4424-b78d-0cc1210ea807,P102,Phone,1,40000,WH_DEL,CREATED,2026-01-14T23:26:00.056230
af4be440-897b-4fdd-95c9-b80fa6346f28,P103,Tablet,1,30000,WH_DEL,CREATED,2026-01-15T06:35:18.056230
fec640af-26cf-47f1-b009-3f61dcc30c40,P103,Tablet,2,30000,WH_BLR,PACKED,2026-01-15T01:59:03.056230
5535a57d-678a-4e29-be4d-a91c57b478a5,P102,Phone,4,40000,WH_BLR,CREATED,2026-01-14T19:14:13.056230
b40b9a70-dc8f-4984-8071-9e9ad4e73a9d,P104,Monitor,4,15000,WH_BLR,PACKED,2026-01-15T11:36:13.056230
7a464e15-a507-49c0-a5a4-a8d80e77a70d,P103,Tablet,2,30000,WH_MUM,SHIPPED,2026-01-15T03:44:32.056230
d0dfe462-7348-44ac-acb7-28d000e50c83,P101,Laptop,4,75000,WH_MUM,PACKED,2026-01-15T08:15:24.056230
c1eea891-0c3f-4b33-a0ed-dd7ccc705103,P102,Phone,2,40000,WH_DEL,SHIPPED,2026-01-14T15:57:04.056230
fc2e6ec2-5c41-4ef8-883d-c595ee46d1a6,P104,Monitor,4,15000,WH_CHE,PACKED,2026-01-14T23:40:24.056230
9fb84397-353b-4cee-95b7-3fc93929b191,P105,Keyboard,3,2000,WH_DEL,PACKED,2026-01-14T21:17:59.056230
ccf3aa6e-fe42-4384-b018-d362221c0cf2,P105,Keyboard,2,2000,WH_CHE,SHIPPED,2026-01-14T14:08:15.056230
a80d7d31-8886-41f6-a8c0-3606ad600b92,P102,Phone,1,40000,WH_BLR,SHIPPED,2026-01-15T03:18:32.056230
4e5ad84c-25dc-4131-a4c8-15e35eef2fba,P101,Laptop,5,75000,WH_BLR,PACKED,2026-01-15T00:51:43.056230
8d796d17-5941-4833-baac-5554f6ea6ed5,P105,Keyboard,1,2000,WH_DEL,SHIPPED,2026-01-15T07:59:21.056230
f0248a69-766b-4ba6-98f1-79e68b42f055,P102,Phone,5,40000,WH_MUM,CREATED,2026-01-15T11:34:29.056230
677a2f30-472f-4d5c-b863-b75598fe30ef,P105,Keyboard,5,2000,WH_BLR,SHIPPED,2026-01-15T05:42:30.056230
ff273b25-d531-4431-be3d-8d3d54eac7cc,P105,Keyboard,3,2000,WH_BLR,SHIPPED,2026-01-15T09:49:12.056230
dfa267e5-2627-419c-9996-19a6802c39ae,P103,Tablet,1,30000,WH_MUM,SHIPPED,2026-01-14T19:45:30.056230
b04f93d8-888e-40fb-94c5-bbd65cbdd263,P101,Laptop,2,75000,WH_DEL,CREATED,2026-01-15T03:54:40.056230
56b38603-7f5b-49ab-9553-5328990274a2,P104,Monitor,4,15000,WH_CHE,CREATED,2026-01-15T00:37:27.056230
51e0e4df-6c12-4232-9792-1e2f49517b7b,P101,Laptop,1,75000,WH_DEL,SHIPPED,2026-01-15T01:08:22.056230
97e93ef9-7b2d-443b-b29e-91fb73eb54c3,P103,Tablet,4,30000,WH_DEL,SHIPPED,2026-01-15T07:26:22.056230
